Cariboo and West Okanagan (100 Mile House),V0K,32908,100 Mile House,32908
Abbotsford Southeast,V2S,48647,Abbotsford,141682
Abbotsford Southwest,V2T,56111,Abbotsford,141682
Abbotsford East,V3G,24150,Abbotsford,141682
Abbotsford West,V4X,12774,Abbotsford,141682
Harrison Lake Region (Agassiz),V0M,11761,Agassiz,11761
Chilcotin (Alexis Creek),V0L,11761,Alexis Creek,11761
Atlin Region (Atlin),V0W,557,Atlin,557
Burnaby (East Big Bend / Stride Avenue / Edmonds / Cariboo-Armstrong),V3N,39354,Burnaby,223073
Burnaby (Burnaby Heights / Willingdon Heights / West Central Valley),V5C,30408,Burnaby,223073
Burnaby (Lakeview-Mayfield / Richmond Park / Kingsway-Beresford),V5E,26272,Burnaby,223073
Burnaby (Cascade-Schou / Douglas-Gilpin),V5G,19862,Burnaby,223073
Burnaby (Maywood / Marlborough / Oakalla / Windsor),V5H,38845,Burnaby,223073
Burnaby (Suncrest / Sussex-Nelson / Clinton-Glenwood / West Big Bend),V5J,21918,Burnaby,223073
Burnaby (Government Road / Lake City / SFU / Burnaby Mountain),V5A,23960,Burnaby,223073
Burnaby (Parkcrest-Aubrey / Ardingley-Sprott),V5B,22454,Burnaby,223073
Campbell River Central,V9W,28743,Campbell River,38047
Campbell River Outskirts,V9H,9304,Campbell River,38047
Castlegar,V1N,12546,Castlegar,12546
Cedar,V9X,10300,Cedar,10300
Central Island (Chemainus),V0R,66795,Chemainus,66795
Chilliwack Central,V2P,36329,Chilliwack,89788
Chilliwack West,V2R,48608,Chilliwack,89788
Chilliwack East,V4Z,4851,Chilliwack,89788
Comox,V9M,17208,Comox,17208
Coquitlam North,V3J,40921,Coquitlam,71417
Coquitlam South,V3K,30495,Coquitlam,71417
Courtenay Northern Outskirts,V9J,8715,Courtenay,38795
Courtenay Central,V9N,30080,Courtenay,38795
Cranbrook,V1C,25413,Cranbrook,25413
Dawson Creek,V1G,15676,Dawson Creek,15676
Delta Northeast,V4C,44169,Delta,102913
Delta East,V4E,11839,Delta,102913
Delta East Central,V4G,86,Delta,102913
Delta Central,V4K,24414,Delta,102913
Delta Southeast,V4L,7893,Delta,102913
Delta Southwest,V4M,14512,Delta,102913
Duncan,V9L,34378,Duncan,34378
Esquimalt,V9A,38699,Esquimalt,38699
East Kootenays (Fernie),V0B,33080,Fernie,33080
Northern British Columbia (Fort Nelson),V0C,28830,Fort Nelson,28830
North Central Island and Bute Inlet Region (Gold River),V0P,6726,Gold River,6726
Upper Columbia Region (Golden),V0A,13920,Golden,13920
Highlands,V9B,44244,Highlands,44244
Similkameen (Hope),V0X,20629,Hope,20629
Kamloops Southwest,V1S,11279,Kamloops,95656
Kamloops Central and Southeast,V2C,23661,Kamloops,95656
Kamloops South and West,V2E,14672,Kamloops,95656
Kamloops North,V2H,6201,Kamloops,95656
Kamloops Northwest,V2B,39843,Kamloops,95656
Kelowna East,V1P,8028,Kelowna,145707
Kelowna North,V1V,21155,Kelowna,145707
Kelowna Southwest,V1W,34573,Kelowna,145707
Kelowna East Central,V1X,33273,Kelowna,145707
Kelowna Central,V1Y,34310,Kelowna,145707
Kelowna West,V1Z,14368,Kelowna,145707
Kimberley,V1A,8414,Kimberley,8414
Kitimat,V8C,8131,Kitimat,8131
Ladysmith,V9G,14772,Ladysmith,14772
Langley Township North,V1M,31176,Langley,143758
Langley Township Northwest,V2Y,35222,Langley,143758
Langley Township Southwest,V2Z,15520,Langley,143758
Langley Township East,V4W,19443,Langley,143758
Langley City,V3A,42397,Langley,143758
Maple Ridge East,V2W,19022,Maple Ridge,82251
Maple Ridge West,V2X,47944,Maple Ridge,82251
Maple Ridge Northwest,V4R,15285,Maple Ridge,82251
Merritt,V1K,9265,Merritt,9265
Metchosin,V9C,22785,Metchosin,22785
Mission East,V2V,33534,Mission,33534
Mission West,V4S,7326,Mission,7326
Nanaimo South,V9R,28376,Nanaimo,89054
Nanaimo Central,V9S,16641,Nanaimo,89054
Nanaimo North,V9T,33103,Nanaimo,89054
Nanaimo Northwest,V9V,10934,Nanaimo,89054
Nelson,V1L,16801,Nelson,16801
New Westminster Northeast,V3L,27724,New Westminster,71147
New Westminster Southwest (Includes Annacis Island),V3M,43423,New Westminster,71147
Oak Bay North,V8R,23572,Oak Bay,40674
Oak Bay South,V8S,17102,Oak Bay,40674
Parksville,V9P,25359,Parksville,25359
Penticton,V2A,37469,Penticton,37469
Pitt Meadows,V3Y,18861,Pitt Meadows,18861
Port Alberni,V9Y,25269,Port Alberni,25269
Port Coquitlam South,V3C,38818,Port Coquitlam,134707
Port Coquitlam North,V3E,39365,Port Coquitlam,134707
Port Coquitlam Central,V3B,56524,Port Coquitlam,134707
Lower Skeena (Port Edward),V0V,2033,Port Edward,2033
Port Moody,V3H,37222,Port Moody,37222
Powell River,V8A,18135,Powell River,18135
Prince Rupert,V8J,12275,Prince Rupert,12275
Prince George North,V2K,20924,Prince George,86326
Prince George East Central,V2L,9947,Prince George,86326
Prince George West Central,V2M,23318,Prince George,86326
Prince George South,V2N,32137,Prince George,86326
Qualicum Beach,V9K,15654,Qualicum,15654
Inside Passage and the Queen Charlottes (Queen Charlotte City),V0T,8645,Queen Charlotte City,8645
Quesnel,V2J,22667,Quesnel,22667
Central Okanagan and High Country (Revelstoke),V0E,65606,Revelstoke,65606
Richmond Northeast,V6V,11177,Richmond,198309
Richmond Southeast,V6W,1628,Richmond,198309
Richmond North,V6X,33695,Richmond,198309
Richmond Central,V6Y,47768,Richmond,198309
Richmond (Sea Island / YVR),V7B,814,Richmond,198309
Richmond West,V7C,39252,Richmond,198309
Richmond Southwest,V7E,37357,Richmond,198309
Richmond South,V7A,26618,Richmond,198309
West Kootenays (Rossland),V0G,26047,Rossland,26047
Central Saanich,V8M,16168,Saanich,129275
Saanich East,V8N,25065,Saanich,129275
Saanich Southeast,V8P,18167,Saanich,129275
Saanich South,V8X,23811,Saanich,129275
Saanich North,V8Y,9830,Saanich,129275
Saanich Central,V8Z,31079,Saanich,129275
Saanich West,V9E,5155,Saanich,129275
Salmon Arm,V1E,19344,Salmon Arm,19344
Saltspring Island,V8K,10561,Saltspring Island,10561
Sidney,V8L,23422,Sidney,23422
Omineca and Yellowhead (Smithers),V0J,52919,Smithers,52919
Juan de Fuca Shore (Sooke),V0S,266,Sooke,17722
Sooke,V9Z,17456,Sooke,17722
Squamish,V8B,11772,Squamish,11772
Fort St. John,V1J,23782,St John,23782
South Okanagan (Summerland),V0H,53380,Summerland,53380
Surrey North,V3R,57844,Surrey,518180
Surrey East,V3S,95349,Surrey,518180
Surrey Inner Northwest,V3T,38549,Surrey,518180
Surrey Outer Northwest,V3V,48927,Surrey,518180
Surrey Upper West,V3W,92447,Surrey,518180
Surrey Lower West,V3X,28510,Surrey,518180
Surrey,V3Z,29265,Surrey,518180
Surrey Northeast,V4N,78675,Surrey,518180
Surrey South,V4P,12224,Surrey,518180
Surrey Southwest,V4A,36390,Surrey,518180
Terrace,V8G,19144,Terrace,19144
Trail,V1R,10021,Trail,10021
Vancouver (North Hastings-Sunrise),V5K,23016,Vancouver,836632
Vancouver (North Grandview-Woodlands),V5L,19720,Vancouver,836632
Vancouver (South Hastings-Sunrise / North Renfrew-Collingwood),V5M,23053,Vancouver,836632
Vancouver (South Grandview-Woodlands / NE Kensington),V5N,35045,Vancouver,836632
Vancouver (SE Kensington / Victoria-Fraserview),V5P,31920,Vancouver,836632
Vancouver (South Renfrew-Collingwood),V5R,46565,Vancouver,836632
Vancouver (Killarney),V5S,28773,Vancouver,836632
Vancouver (East Mount Pleasant),V5T,23911,Vancouver,836632
Vancouver (West Kensington / NE Riley Park-Little Mountain),V5V,24560,Vancouver,836632
Vancouver (SE Riley Park-Little Mountain / SW Kensington / NE Oakridge / North Sunset),V5W,19706,Vancouver,836632
Vancouver (SE Oakridge / East Marpole / South Sunset),V5X,28820,Vancouver,836632
Vancouver (West Mount Pleasant / West Riley Park-Little Mountain),V5Y,17201,Vancouver,836632
Vancouver (East Fairview / South Cambie),V5Z,22547,Vancouver,836632
Vancouver (Waterfront / Coal Harbour / Canada Place),V6C,2554,Vancouver,836632
Vancouver (South West End),V6E,26907,Vancouver,836632
Vancouver (North West End / Stanley Park),V6G,27198,Vancouver,836632
Vancouver (West Fairview / Granville Island / NE Shaughnessy),V6H,17848,Vancouver,836632
Vancouver (NW Shaughnessy / East Kitsilano / Quilchena),V6J,22188,Vancouver,836632
Vancouver (Central Kitsilano),V6K,26424,Vancouver,836632
Vancouver (NW Arbutus Ridge),V6L,10479,Vancouver,836632
Vancouver (South Shaughnessy / NW Oakridge / NE Kerrisdale / SE Arbutus Ridge),V6M,16348,Vancouver,836632
Vancouver (Dunbar-Southlands / Musqueam),V6N,14057,Vancouver,836632
Vancouver (SE Kerrisdale / SW Oakridge / West Marpole),V6P,30697,Vancouver,836632
Vancouver (West Kitsilano / Jericho),V6R,19416,Vancouver,836632
Vancouver (Chaldecutt / South University Endowment Lands),V6S,12152,Vancouver,836632
Vancouver (SW Downtown),V6Z,17832,Vancouver,836632
North Vancouver Outer East,V7G,11673,Vancouver,836632
North Vancouver Inner East,V7H,13232,Vancouver,836632
North Vancouver East Central,V7J,16743,Vancouver,836632
North Vancouver North Central,V7K,12391,Vancouver,836632
North Vancouver South Central,V7L,26608,Vancouver,836632
North Vancouver Southwest Central,V7M,20181,Vancouver,836632
North Vancouver Northwest Central,V7N,14883,Vancouver,836632
North Vancouver Southwest,V7P,13034,Vancouver,836632
North Vancouver Northwest,V7R,14770,Vancouver,836632
West Vancouver North,V7S,10521,Vancouver,836632
West Vancouver Southeast,V7T,9274,Vancouver,836632
West Vancouver South,V7V,14952,Vancouver,836632
West Vancouver West,V7W,8611,Vancouver,836632
Vancouver (Bentall Centre),V7X,0,Vancouver,836632
Vancouver (Pacific Centre),V7Y,5,Vancouver,836632
Vancouver (UBC),V6T,12722,Vancouver,836632
Vancouver (Strathcona / Chinatown / Downtown Eastside),V6A,18719,Vancouver,836632
Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),V6B,29376,Vancouver,836632
Vernon West,V1H,13427,Vernon,62819
Vernon Central,V1T,27997,Vernon,62819
Vernon East,V1B,21395,Vernon,62819
Victoria North,V8T,20136,Victoria,51229
Victoria South,V8V,25892,Victoria,51229
Victoria Central British Columbia Provincial Government,V8W,5201,Victoria,51229
Westbank,V4T,27996,Westbank,27996
"North Island, Sunshine Coast, and Southern Gulf Islands (Whistler)",V0N,79501,Whistler,79501
White Rock,V4B,19952,White Rock,19952
Williams Lake,V2G,17970,Williams Lake,17970
Winfield,V4V,14614,Winfield,14614
